id,taxon,genus,species,infraspecific,source,price_eur,acquired_date,status,location,notes
336,Schoenorchis pachyacris,Schoenorchis,pachyacris,,From growlist (May 2020),See notes,,alive,,Vendor/date unknown
78,Seidenfadenia mitrata,Seidenfadenia,mitrata,,Celandroni Orchidee,31.82,Dec 2021,lost,,
69,Sophronitis coccinea f. aurea ('Atsumi' x 'Perfection'),Sophronitis,coccinea,f. aurea ('Atsumi' x 'Perfection'),Celandroni Orchidee,150,Mar 2024,alive,,SM/JOGA Japan Selection
118,Sophronitis pygmaea,Sophronitis,pygmaea,,Großräschener Orchideen,35,Nov 2023,lost,,
121,Sophronitis pygmaea,Sophronitis,pygmaea,,Großräschener Orchideen,35,Feb 2023,lost,,
273,Sophronitis brevipedunculata,Sophronitis,brevipedunculata,,Lo Scrigno di Nebbia,25,Nov 2022,alive,,
274,Sophronitis wittigiana rosea,Sophronitis,wittigiana rosea,,Lo Scrigno di Nebbia,32,Feb 2023,alive,,
406,Sophronitis coccinea 4N,Sophronitis,coccinea 4N,,Celandroni Orchidee,,,alive,,
36,Sphagnum papillosum,Sphagnum,papillosum,,Gartenbau Carow,See notes,Apr 2020,alive,,Best.Nr: SPHO; part of €74.30 order (living moss)
37,Sphagnum girgensohnii,Sphagnum,girgensohnii,,Gartenbau Carow,See notes,Apr 2020,lost,,Best.Nr: SPHG; part of €74.30 order (living moss)
348,Sphagnum fallax,Sphagnum,fallax,,From growlist (May 2020),See notes,,alive,,Vendor/date unknown
39,Spiranthes cernua var. odorata 'Chadds Ford',Spiranthes,cernua,var. odorata 'Chadds Ford',Gartenbau Carow,See notes,Apr 2021,alive,,Best.Nr: SPCE; Wasserorchidee; part of €77.60 order
251,Stereochilus pachyphyllus,Stereochilus,pachyphyllus,,Orchids & more,12,Oct 2024,lost,,Size 2P (B)
40,Tillandsia albertiana,Tillandsia,albertiana,,Dötterer Pflanzen,6.54,Feb 2020,alive,,Mounted on cork; Pulk auf Kork (Dötterer)
41,Tillandsia cacticola,Tillandsia,cacticola,,Dötterer Pflanzen,9.35,Feb 2020,alive,,
42,Tillandsia caerulea,Tillandsia,caerulea,,Dötterer Pflanzen,9.35,Feb 2020,alive,,On wire; Clump
43,Tillandsia capitata var. yellow,Tillandsia,capitata,var. yellow,Dötterer Pflanzen,16.82,Feb 2020,alive,,
44,Tillandsia chusgonensis,Tillandsia,chusgonensis,,Dötterer Pflanzen,11.21,Feb 2020,alive,,Clump; Pulk
45,Tillandsia funckiana,Tillandsia,funckiana,,Dötterer Pflanzen,6.07,Feb 2020,lost,,Mounted on cork; Pulk auf Kork (Dötterer)
46,Tillandsia kammii,Tillandsia,kammii,,Dötterer Pflanzen,8.41,Feb 2020,lost,,Mounted on cork; Pulk auf Kork
47,Tillandsia loliacea,Tillandsia,loliacea,,Dötterer Pflanzen,6.54,Feb 2020,alive,,Small clump; Pulk small
48,Tillandsia rectifolia,Tillandsia,rectifolia,,Dötterer Pflanzen,11.21,Feb 2020,alive,,Mounted on cork; auf Kork
49,Tillandsia schiedeana var. major,Tillandsia,schiedeana,var. major,Dötterer Pflanzen,9.35,Feb 2020,alive,,Wire ball form; Wireball
50,Tillandsia setiformis,Tillandsia,setiformis,,Dötterer Pflanzen,9.35,Feb 2020,alive,,Mounted on cork; Pulk auf Kork
51,Tillandsia stellifera,Tillandsia,stellifera,,Dötterer Pflanzen,8.41,Feb 2020,alive,,
52,Tillandsia streptocarpa,Tillandsia,streptocarpa,,Dötterer Pflanzen,8.41,Feb 2020,alive,,"Large, on wire; Size L"
409,Tillandsia bandensis,Tillandsia,bandensis,,Unknown,,,alive,,Identified Apr 2026 from photos
53,Tillandsia bartramii,Tillandsia,bartramii,,Dötterer Pflanzen,8.57,Sep 2020,alive,,"On cork, with seed capsules; With seed pods"
54,Tillandsia duratii,Tillandsia,duratii,,Dötterer Pflanzen,18.69,Sep 2020,alive,,On wire
55,Tillandsia heteromorpha,Tillandsia,heteromorpha,,Dötterer Pflanzen,5.61,Sep 2020,alive,,Clump; Pulk
56,Tillandsia pohliana,Tillandsia,pohliana,,Dötterer Pflanzen,3.81,Sep 2020,alive,,+1 gratis (free bonus); Size LARGE
57,Tillandsia tectorum 'Snow',Tillandsia,tectorum,'Snow',Dötterer Pflanzen,14.95,Sep 2020,alive,,Extra-large; Size XL
408,Tillandsia tectorum,Tillandsia,tectorum,,Unknown,,,alive,,Tag lost; form unknown
58,Tillandsia usneoides 'Silber Grob',Tillandsia,usneoides,'Silber Grob',Dötterer Pflanzen,13.08,Sep 2020,alive,,"Silver, coarse form, large; Size LARGE"
59,Tillandsia 'Houston Cotton Candy',Tillandsia,,'Houston Cotton Candy',Dötterer Pflanzen,10.47,Sep 2020,alive,,Giant form; Gigant form
60,Tillandsia arizae-juliae,Tillandsia,arizae-juliae,,Dötterer Pflanzen,3.74,May 2021,alive,,
61,Tillandsia bartramii,Tillandsia,bartramii,,Dötterer Pflanzen,8.57,May 2021,alive,,"Large wire ball; Wireball, size L"
62,Tillandsia chaetophylla,Tillandsia,chaetophylla,,Dötterer Pflanzen,14.29,May 2021,alive,,Clump; Pulk
63,Tillandsia 'Curly Slim',Tillandsia,,'Curly Slim',Dötterer Pflanzen,17.14,May 2021,alive,,Extra-large; Size XL
64,Tillandsia pruinosa,Tillandsia,pruinosa,,Dötterer Pflanzen,8.88,May 2021,alive,,On wire; Clump
65,Tillandsia recurvata,Tillandsia,recurvata,,Dötterer Pflanzen,6.54,May 2021,alive,,Clump; Pulk
66,Tillandsia sphaerocephala,Tillandsia,sphaerocephala,,Dötterer Pflanzen,4.49,May 2021,alive,,
136,Tillandsia xerographica,Tillandsia,xerographica,,Michieli Floricoltura,45.9,Nov 2021,lost,,XL size; Size XL
137,Tillandsia vicentina,Tillandsia,vicentina,,Michieli Floricoltura,11.59,Nov 2021,alive,,
352,Tillandsia glabrior,Tillandsia,glabrior,,,,,alive,,
353,Tillandsia araujei,Tillandsia,araujei,,,,,alive,,
354,Tillandsia funckiana,Tillandsia,funckiana,,,,,alive,,
407,Tillandsia fuchsii var. fuchsii,Tillandsia,fuchsii,var. fuchsii,Unknown,,,alive,,Identified Apr 2026; has flowered; in collection since at least 2022
355,Tillandsia pueblensis,Tillandsia,pueblensis,,,,,alive,,
356,Tillandsia hirta f. minor,Tillandsia,hirta,f. minor,,,,alive,,
357,Tillandsia gilliesii var. gilliesii,Tillandsia,gilliesii,var. gilliesii,,,,alive,,
358,Tillandsia burle-marxii,Tillandsia,burle-marxii,,,,,alive,,
372,Tillandsia santiagoensis f. adpressa,Tillandsia,santiagoensis,f. adpressa,,,,alive,,"H.Hrom. & L.Hrom. 2020; Bolivia, Serrania de Santiago"
373,Tillandsia aeranthos,Tillandsia,aeranthos,,,,,alive,,Esemplari grandi
374,Tillandsia landbeckii,Tillandsia,landbeckii,,,,,alive,,P12
375,Tillandsia reitenbachii,Tillandsia,reitenbachii,,,,,alive,,
376,Tillandsia stelliflora,Tillandsia,stelliflora,,,,,alive,,
377,Tillandsia kautskyi,Tillandsia,kautskyi,,,,,alive,,"Miniatura brasiliana, ex-CITES"
378,Tillandsia crocata,Tillandsia,crocata,,,,,alive,,Fiori gialli profumati
379,Tillandsia tenuifolia,Tillandsia,tenuifolia,,,,,alive,,
380,Tillandsia tricholepis,Tillandsia,tricholepis,,,,,alive,,Subgen. Diaphoranthema
386,Tillandsia seleriana,Tillandsia,seleriana,,,,,alive,,
387,Tillandsia paleacea,Tillandsia,paleacea,,Unknown,,,alive,,
388,Tillandsia harrisii,Tillandsia,harrisii,,Unknown,,,alive,,
389,Tillandsia magnusiana,Tillandsia,magnusiana,,Unknown,,,alive,,
390,Tillandsia caput-medusae,Tillandsia,caput-medusae,,Unknown,,,alive,,
391,Tillandsia ionantha,Tillandsia,ionantha,,Unknown,,,alive,,
392,Tillandsia ionantha 'Fuego',Tillandsia,ionantha,'Fuego',Unknown,,,alive,,
393,Tillandsia straminea,Tillandsia,straminea,,Unknown,,,alive,,
394,Tillandsia streptophylla,Tillandsia,streptophylla,,Unknown,,,alive,,In flower
395,Tillandsia bergeri,Tillandsia,bergeri,,Unknown,,,alive,,Large clump
